customer_id,year,month,weekend_amount_spent,Num_of_weekend_visits,total_amount_spent,total_num_of_visits,end_date
529349,2018,5,100,0,2335,2,5/31/2018
529349,2018,12,100,0,1750,1,12/31/2018
529349,2017,9,4217.5,1,4217.5,1,9/30/2017
529349,2019,4,100,0,3370,1,4/30/2019
529349,2018,2,100,0,851.65,1,2/28/2018
529349,2017,7,2405.5,1,2405.5,1,7/31/2017
529349,2019,5,100,0,752.68,1,5/31/2019
529349,2018,11,1750,1,3400,2,11/30/2018
529613,2019,4,100,0,556.12,1,4/30/2019
529793,2019,8,5380,4,29853.22,16,8/31/2019
529793,2017,11,5258.86,2,12950.16,5,11/30/2017
529793,2017,7,2976.57,3,12238.36,8,7/31/2017
529793,2018,12,100,0,8105.09,6,12/31/2018
529793,2019,2,10303.51,6,33563.38,20,2/28/2019
529793,2018,2,2957.5,1,11181.97,6,2/28/2018
529793,2019,6,9002.8,5,12092.8,7,6/30/2019
529793,2017,1,10568.85,2,24019.53,9,1/31/2017
529793,2018,10,6800.56,3,30173.46,11,10/31/2018
529793,2019,9,5219.59,5,17783.62,14,9/30/2019
529793,2017,12,22242.49,6,27495.97,10,12/31/2017
529793,2017,4,5447.85,4,17378.43,9,4/30/2017
529793,2018,11,4008.1,2,20422.63,9,11/30/2018
529793,2018,3,12110.71,6,27567.82,14,3/31/2018
529793,2017,9,1959.67,1,18564.84,6,9/30/2017
529793,2019,11,6342.25,4,10422.25,6,11/30/2019
529793,2018,7,100,0,8480.71,3,7/31/2018
529793,2017,6,100,0,2415.18,1,6/30/2017
529793,2017,10,13125.32,4,26640.75,10,10/31/2017
529793,2018,1,4230.12,2,13852.18,7,1/31/2018
529793,2017,3,9168.78,6,16852.15,11,3/31/2017
529793,2019,7,2755,1,17145.58,9,7/31/2019
529793,2017,2,8742.47,4,19849.92,10,2/28/2017
529793,2018,4,4918.03,4,19993.81,15,4/30/2018
529793,2019,3,5547.61,5,24240.4,14,3/31/2019
529793,2018,9,7318.72,3,15096.52,7,9/30/2018
529793,2019,10,3560.95,4,8028.34,8,10/31/2019
529793,2019,12,5048.74,3,15515.7,8,12/31/2019
529793,2019,1,2485,2,32591.4,12,1/31/2019
529793,2017,8,2221.6,2,13665.4,8,8/31/2017
529793,2019,5,3328,3,11597.2,11,5/31/2019
529793,2018,6,100,0,8462.65,4,6/30/2018
529793,2018,8,2348.74,1,10932.04,4,8/31/2018
529793,2018,5,2787.49,3,11654.52,9,5/31/2018
529793,2017,5,2667.02,1,14786.24,6,5/31/2017
529793,2019,4,7520.52,4,34774.87,18,4/30/2019
529828,2018,6,7338.01,1,7338.01,1,6/30/2018
529828,2018,3,4744.75,1,4744.75,1,3/31/2018
529828,2018,9,9719.82,4,9719.82,4,9/30/2018
529828,2018,5,685,1,4034.64,2,5/31/2018
529828,2018,8,9013.12,3,9013.12,3,8/31/2018
529828,2019,3,100,0,7060.48,1,3/31/2019
529828,2018,11,100,0,4317.99,1,11/30/2018
529828,2017,7,302.5,1,302.5,1,7/31/2017
529828,2019,6,4805.35,1,4805.35,1,6/30/2019
529828,2019,5,100,0,3032.5,1,5/31/2019
529828,2019,12,100,0,2586.16,1,12/31/2019
529828,2017,3,100,0,1045,1,3/31/2017
529828,2017,2,100,0,490,1,2/28/2017
529828,2019,9,100,0,4110.99,4,9/30/2019
529828,2018,7,12180.78,4,12180.78,4,7/31/2018
529877,2019,5,1238.5,1,1238.5,1,5/31/2019
529877,2017,6,4858,5,7063,9,6/30/2017
529877,2017,8,767.5,1,2993.5,5,8/31/2017
529877,2019,2,1187.5,2,2897.5,4,2/28/2019
529877,2017,3,782.5,2,4652.5,7,3/31/2017
529877,2018,11,100,0,347.5,1,11/30/2018
529877,2017,2,3194.5,1,6914.5,2,2/28/2017
529877,2019,9,683.5,2,1807,3,9/30/2019
529877,2019,12,415,1,1190.5,3,12/31/2019
529877,2017,5,467.5,1,5649.64,5,5/31/2017
529877,2017,10,1577.5,3,3692.5,8,10/31/2017
529877,2018,2,100,0,722.53,1,2/28/2018
529877,2018,5,3521.38,3,4188.88,4,5/31/2018
529877,2017,7,100,0,880,1,7/31/2017
529877,2018,12,895,1,2027.5,4,12/31/2018
529877,2019,4,1060,1,3950.5,4,4/30/2019
529877,2017,9,287.5,2,976,4,9/30/2017
529877,2018,1,100,0,1720,2,1/31/2018
529877,2019,1,2641.93,1,3570.43,3,1/31/2019
529877,2019,11,772,1,3067.3,3,11/30/2019
529877,2018,10,677.5,1,677.5,1,10/31/2018
529877,2019,6,100,0,2792.5,3,6/30/2019
529877,2018,8,4045,1,4045,1,8/31/2018
529877,2019,3,6509.5,7,7019.5,8,3/31/2019
529877,2018,3,415,1,1915,5,3/31/2018
529877,2017,11,1457.5,2,3677.5,6,11/30/2017
529877,2018,7,1480,1,4964.5,6,7/31/2018
529877,2017,12,100,0,1778.5,3,12/31/2017
529877,2019,8,1412.5,2,1787.5,3,8/31/2019
529877,2019,7,100,0,3380.32,4,7/31/2019
529877,2018,4,953.5,1,2911,3,4/30/2018
529877,2018,6,790,1,790,1,6/30/2018
529877,2017,4,1007.5,1,5642.5,5,4/30/2017
529941,2018,1,9128.14,1,44180.98,5,1/31/2018
529941,2018,11,28700.52,2,59914.32,9,11/30/2018
529941,2019,3,100,0,1945,1,3/31/2019
529941,2019,7,100,0,2959.93,1,7/31/2019
529941,2019,2,100,0,2117.53,2,2/28/2019
529941,2019,12,17724.88,3,98852.65,12,12/31/2019
529941,2018,12,10168.63,2,36559.42,8,12/31/2018
529941,2017,12,2008.96,1,34205.98,5,12/31/2017
530380,2017,5,100,0,5287.35,1,5/31/2017
530380,2018,9,2104.72,1,2104.72,1,9/30/2018
530380,2017,1,100,0,8102.97,3,1/31/2017
530380,2018,3,100,0,1650.02,1,3/31/2018
530380,2017,4,100,0,5392.41,1,4/30/2017
530380,2018,12,3883,1,6447.39,3,12/31/2018
530380,2019,3,274,1,274,1,3/31/2019
530380,2017,3,100,0,7324.12,3,3/31/2017
530380,2019,1,100,0,920.53,1,1/31/2019
530380,2017,2,3583.12,1,6026.65,2,2/28/2017
530380,2019,4,197.5,1,7539.76,3,4/30/2019
530422,2019,7,100,0,2990.5,1,7/31/2019
530422,2019,9,1493.5,1,6903.67,3,9/30/2019
530422,2018,12,100,0,1667.32,1,12/31/2018
530422,2019,12,18691.18,3,25479.6,6,12/31/2019
530422,2018,11,100,0,1691.19,1,11/30/2018
530422,2019,5,100,0,1946.5,1,5/31/2019
530422,2019,3,100,0,1045.21,1,3/31/2019
530422,2019,11,8861.08,2,32180.36,4,11/30/2019
530422,2018,10,2419.15,2,2419.15,2,10/31/2018
530422,2019,10,201.7,1,201.7,1,10/31/2019
530560,2017,11,100,0,1644.46,1,11/30/2017
530650,2018,12,2581,1,2581,1,12/31/2018
530650,2017,5,100,0,7952.37,3,5/31/2017
530650,2019,12,730,1,2941.48,4,12/31/2019
530650,2017,3,1465,1,2689.59,2,3/31/2017
530650,2017,8,8047.78,4,11484.61,6,8/31/2017
530650,2018,8,100,0,3995.68,3,8/31/2018
530650,2019,6,3388.27,2,4929.82,3,6/30/2019
530650,2017,2,788.95,2,3681.37,4,2/28/2017
530650,2017,11,485.91,1,4532.53,7,11/30/2017
530650,2018,2,6905.62,4,6905.62,4,2/28/2018
530650,2018,9,413.5,1,6974.82,6,9/30/2018
530650,2018,10,1300,1,3309.1,2,10/31/2018
530650,2018,6,4921,4,8873.28,8,6/30/2018
530650,2018,11,910,1,7739.18,7,11/30/2018
530650,2018,5,1949.71,1,13056.31,6,5/31/2018
530650,2018,7,5296,1,10464.82,7,7/31/2018
530650,2018,3,1257.12,3,9393.69,7,3/31/2018
530650,2017,6,100,0,4876.71,2,6/30/2017
530650,2019,5,100,0,8619.07,3,5/31/2019
530650,2017,1,8291.26,7,11536.45,9,1/31/2017
530650,2019,8,100,0,6056.67,2,8/31/2019
530650,2017,9,3308.83,1,5690.68,2,9/30/2017
530650,2019,7,100,0,15196.69,6,7/31/2019
530650,2019,11,865.72,2,8340.88,4,11/30/2019
530650,2018,1,662.5,1,6892.38,8,1/31/2018
530650,2017,10,4742.13,1,4742.13,1,10/31/2017
530650,2019,1,100,0,3483.06,2,1/31/2019
530650,2019,9,100,0,5724.82,2,9/30/2019
530650,2017,12,810.85,2,3988.33,5,12/31/2017
530650,2019,4,1615,1,5666.41,5,4/30/2019
530650,2019,2,100,0,1393.17,1,2/28/2019
530650,2017,7,5821.81,2,6010.9,3,7/31/2017
530650,2019,3,5847.24,3,9397.44,5,3/31/2019
530650,2017,4,2048.44,2,11825.53,6,4/30/2017
530650,2018,4,3104.86,3,7465.62,6,4/30/2018
530752,2017,4,3953.68,3,11970.18,11,4/30/2017
530752,2017,12,100,0,7310.62,7,12/31/2017
530752,2019,5,2985.91,2,5346.76,3,5/31/2019
530752,2018,10,1685.5,1,2465.5,2,10/31/2018
530752,2018,4,100,0,6054.27,5,4/30/2018
530752,2019,8,5822.38,5,20406.22,13,8/31/2019
530752,2017,6,100,0,4713.81,2,6/30/2017
530752,2019,7,100,0,9572.97,3,7/31/2019
530752,2019,12,2087.5,1,13449.6,6,12/31/2019
530752,2017,11,706.33,1,2515.11,5,11/30/2017
530752,2019,9,2872.33,2,9605.2,4,9/30/2019
530752,2019,11,6275.71,3,19205.79,8,11/30/2019
530752,2017,10,100,0,985.78,1,10/31/2017
